time_h,target_Q,choke_pct,Q,WHP,FLP,BHP,WHT,AP,n_candidates,n_feasible,all_infeasible
1.0,120.0,5.0,6.5114187659503635,1455.802223264204,182.21921973323313,2968.8373697906436,96.1626908819511,448.8665424324895,11,11,False
2.0,120.0,10.0,22.582142371095586,1360.2069826598506,190.510702345501,2897.6443871914253,99.01546763963196,449.7301520089153,21,21,False
3.0,120.0,15.0,41.94451310759394,1238.0190076603023,198.67342867755062,2800.4508151908094,103.16797256237945,450.47189782724723,21,21,False
4.0,120.0,20.0,62.51197681751315,1097.9039149947218,206.2556385945784,2679.4196119199714,107.99935979899543,451.5699931871182,21,21,False
5.0,120.0,25.0,81.6227707543692,956.5968964216326,213.9107183049898,2560.1782167701917,113.45233448347135,448.76024587643326,21,21,False
6.0,120.0,30.0,102.85515278776339,831.350538627789,219.94682065270612,2440.6581927447346,119.23349958480247,449.9975309458688,21,21,False
7.0,120.0,35.0,117.27385752428252,716.9748438068397,230.05815064154066,2333.884171678596,124.82419399369624,448.5580496640605,21,21,False
8.0,120.0,37.0,124.41232579606519,651.9871851467877,231.03079236589792,2254.9330118152557,129.49539091650647,450.5480266928156,21,21,False
9.0,120.0,37.0,128.02972740939103,620.6094484527799,230.2034008508217,2210.935236743903,132.95820461083173,449.92657400274436,21,21,False
10.0,120.0,35.5,126.11519359015094,624.5651397580622,230.5328110320293,2188.4409674802973,133.73561297089222,450.49884127127405,21,21,False
11.0,120.0,34.5,123.5487523106095,633.8046619201205,230.3019383559971,2185.854223090985,135.17036861353503,449.4720548778986,21,21,False
12.0,120.0,34.5,124.27009510793705,640.5648674110339,228.35961432736974,2183.6212448677375,136.2722473196208,448.8428027621512,21,21,False
13.0,120.0,33.5,121.63215112131212,649.5025188957985,230.42780181861355,2184.399638445039,136.26869821537068,450.1347277719419,21,21,False
14.0,120.0,33.5,123.27336316797968,655.3211535289896,226.69943012398397,2187.5359949439917,136.6441463096417,449.68594700794677,21,21,False
15.0,120.0,33.5,122.3461209193985,657.2700185647064,226.49297613147388,2190.68286605505,136.8603886216058,449.83518384211044,21,21,False
16.0,120.0,33.5,122.18039517996425,662.164045595114,227.81861518005334,2189.2357885380134,137.3239099054824,449.90216967220994,21,21,False
17.0,120.0,33.5,121.14865110972852,661.2947074514378,228.4238109493891,2194.083931961106,137.2500422556167,451.64481921358504,21,21,False
18.0,120.0,33.5,121.97639604092407,657.4328782965745,229.236743197017,2191.459559582447,136.79517992769058,448.7742260800813,21,21,False
19.0,120.0,33.5,120.54632050688265,659.7011480690915,229.49228388996022,2192.0594139538916,136.87653132536133,450.213173064376,21,21,False
20.0,120.0,33.5,121.37179075824405,662.3856211456122,229.2681594809881,2193.3012329807207,137.00264458309667,450.6717881332497,21,21,False
21.0,120.0,33.5,121.13314776328878,662.4061245085393,228.96223653288067,2191.422862378809,137.30203477029497,448.8151504771477,21,21,False
22.0,120.0,33.5,122.21799226995664,661.37664481106,228.29827575600706,2193.0774401425288,137.58817120557842,451.19382686865686,21,21,False
23.0,120.0,33.5,120.9765135732761,660.5366605033529,228.0421479672782,2192.1661545273537,137.5175916491473,450.69412201070526,21,21,False
24.0,120.0,33.5,120.76174013860022,661.0998883902071,228.61330428455523,2194.3390628735197,137.2119939686255,448.68070693510197,21,21,False
25.0,120.0,33.5,121.2519660285799,659.292734383303,227.97285570049976,2195.8327839472445,137.6542553502561,450.30989087941776,21,21,False
26.0,120.0,33.5,119.36762879481662,658.8018788436494,226.57106705462897,2196.093164968049,137.28258779712726,451.42668694755815,21,21,False
27.0,120.0,33.5,121.12144296207032,660.48268485142,229.2063534716397,2192.1255781152167,137.11475839221825,450.7318303868706,21,21,False
28.0,120.0,33.5,120.54735433547464,662.6613491585413,226.60715717867126,2192.13074177196,137.0300402534141,449.86242615215644,21,21,False
29.0,120.0,33.5,121.88583234209896,661.0821972753769,227.76905742418685,2193.4504967470175,137.4856050673508,451.3262118514183,21,21,False
30.0,120.0,33.5,121.41786275056867,657.9976078923673,228.61560420564905,2192.627785922136,137.1607990247393,449.49655735974983,21,21,False
31.0,120.0,33.5,121.93294585373023,662.7783683776199,229.6428650218051,2193.314586815731,137.1543285169632,450.3684324924106,21,21,False
32.0,120.0,33.5,121.34911745264868,661.5761525798661,227.89718234891353,2189.949230693866,137.81018247337016,450.167497199335,21,21,False
33.0,120.0,33.5,121.14287274697793,660.9349593772658,229.1268464583957,2197.6024684488384,137.0194080845092,450.66201317276295,21,21,False
34.0,120.0,33.5,121.5463300705142,659.7102496996735,229.74701932050178,2190.546733581106,137.71905237856717,450.7482970551515,21,21,False
35.0,120.0,33.5,120.52310322849861,659.3489444355604,230.24463956499142,2193.7578997805417,137.5426305066843,451.12915718847637,21,21,False
36.0,120.0,33.5,120.73343011125246,661.7387849522594,228.56956536086747,2193.8872669026164,137.4328984316326,449.0609067661669,21,21,False
37.0,120.0,33.5,121.1760902920051,660.0841877597018,230.13579230585256,2195.2020325815515,137.15709610707682,449.74099791649434,21,21,False
38.0,120.0,33.5,121.14650242742688,662.7066942095956,226.36686658671127,2192.665113848801,136.8743993671234,450.2320246551217,21,21,False
39.0,120.0,33.5,120.58213372280447,661.0794674926397,228.62231084296286,2193.8955263297466,137.23955875729973,451.9892839460952,21,21,False
40.0,120.0,33.5,120.15615939153875,658.1686464442296,227.58663742004947,2193.710588023431,137.35218037587617,449.6269873975687,21,21,False
41.0,120.0,33.5,120.29207493406523,660.4718774321191,229.94504166443963,2192.207176145605,137.12749972392487,450.0134400749335,21,21,False
42.0,120.0,33.5,120.11003951353656,661.3347803632813,227.13832300848958,2188.7638796659535,137.25255999846578,452.0275119303784,21,21,False
43.0,120.0,33.5,121.54040834139198,659.5810262921832,226.8075814441477,2197.2582206719353,137.25015478912198,450.9323679823026,21,21,False
44.0,120.0,33.5,120.31770183436288,661.9603843296035,226.88207381258528,2192.8200214838225,137.27625880007744,449.3613132927897,21,21,False
45.0,120.0,33.5,121.33302440233626,661.7838059296354,227.67052228267153,2190.1654678542213,137.57808252855403,449.8420679336712,21,21,False
46.0,120.0,33.5,121.04571058644345,660.6840361100045,228.33992270318438,2190.2921072505133,137.56211127607992,449.40646682364405,21,21,False
47.0,120.0,33.5,121.86174822802738,661.2335191809806,228.19265920420503,2196.416600886747,137.32904690323844,449.56026296641227,21,21,False
48.0,120.0,33.5,119.5763624937713,662.8656205070815,228.00869924381968,2191.541748194135,137.04695240202184,449.954788450194,21,21,False
49.0,120.0,33.5,120.75102424048187,663.5893407836062,226.66304859099557,2188.957420011564,137.31828924408973,449.51686973813105,21,21,False
50.0,120.0,33.5,121.38537236400893,661.174076803248,227.46874158024607,2194.369725073971,137.41238361110712,450.0956878614574,21,21,False
51.0,120.0,33.5,121.38467411726813,659.768927871548,228.93107313723763,2192.3277007042648,137.4718038768403,450.3691889762692,21,21,False
52.0,120.0,33.5,120.7237987158461,658.2264130915894,226.44800809955055,2194.937107917506,137.87483920940358,451.26135938067495,21,21,False
