time_h,target_Q,choke_pct,Q,WHP,FLP,BHP,WHT,AP,n_candidates,n_feasible,all_infeasible
60.0,150.0,51.5,152.07664445681357,429.01322259906965,240.56183274739843,1988.7083529409788,147.20116556446592,451.3888399299148,21,21,False
61.0,150.0,50.0,151.19023107879985,437.6762400236925,241.09703916116487,1990.6019184783868,147.65490162057552,450.1864739370531,21,21,False
62.0,150.0,50.0,150.68329370902342,439.8401026899617,241.6289606768055,1991.9844232067426,147.49424284632713,448.3953920381728,21,21,False
63.0,150.0,50.0,152.37130210160046,441.2740415081881,240.11515387413573,1992.8871727880303,147.7560896385408,450.2608305970737,21,21,False
64.0,150.0,50.0,151.05992060867482,444.0567426554385,239.67012560102484,1993.2261517350119,148.25552599144493,451.79678033568973,21,21,False
65.0,150.0,50.0,151.13378639991947,444.0554391299404,241.9322535287856,1993.3322690135114,147.47601571190359,450.85050045205617,21,21,False
66.0,150.0,50.0,150.37832712432004,440.1926783514418,240.14426772297404,1995.4213776449783,148.1516690735339,451.1937025309823,21,21,False
67.0,150.0,50.0,151.50412387550088,445.9903785742997,240.83106314820856,1991.8930877116547,148.0011919832945,448.22171783816356,21,21,False
68.0,150.0,50.0,149.5472861204983,443.4864464748787,239.18204927835816,1993.5840797566482,148.64133280401643,449.84808409472225,21,21,False
69.0,150.0,50.0,150.50231035141016,443.6102113134225,240.84367886471864,1993.0287851630526,148.27916605601888,451.0891996346922,21,21,False
70.0,150.0,50.0,150.59206465812696,443.6466552278667,241.85646015722284,1992.9475278370958,147.77687847229217,450.34042020056614,21,21,False
71.0,150.0,50.0,150.72400340526536,446.1649884549593,240.75574768038223,1993.912886504108,148.04347315703845,449.3001459071268,21,21,False
72.0,150.0,50.0,152.57910729970195,442.5845936343034,240.61306106954993,1996.6662863863116,147.95258072862686,450.91721445879125,21,21,False
73.0,150.0,50.0,150.9933492926852,443.6175753794091,239.37307881840212,1994.6681847380835,147.69251732477852,451.80948757124384,21,21,False
74.0,150.0,50.0,152.05662579846881,445.2207000228135,239.8891784504652,1993.9818296291864,148.36792232559003,450.4032587830436,21,21,False
75.0,150.0,50.0,152.93758769257042,441.8008856298561,237.68249969396874,1995.4920145136605,147.72474224080827,448.7423555249043,21,21,False
76.0,150.0,50.0,151.86661074100857,441.29983961580825,241.75510768384746,1991.8307778204505,147.70062349593428,449.9598732735836,21,21,False
77.0,150.0,50.0,150.9821294176829,443.8513181649311,238.5803166842051,1992.5810131359344,147.62500632476733,450.35690033033944,21,21,False
78.0,150.0,50.0,149.94303045250373,444.0917944086788,238.78855411612506,1990.7390117342454,148.41440374879403,449.89285969475463,21,21,False
79.0,150.0,50.0,151.04601176189334,444.50160953409636,240.52769859785136,1993.326507603657,147.45395912940756,450.05161193968127,21,21,False
80.0,150.0,50.0,151.21004501553756,445.4272271684409,242.20490101107677,1995.237858221702,148.2355011600616,451.3928928670335,21,21,False
81.0,150.0,50.0,149.99721970005118,441.58757989141384,240.29071723310926,1991.8196568286578,148.05951791298403,451.4114771882575,21,21,False
82.0,150.0,50.0,150.036687145054,443.07784822674375,242.15723893526018,1991.5116747073907,148.31453849016833,450.215828753557,21,21,False
83.0,150.0,50.0,150.45625683850108,443.71487024875665,239.72663885867325,1996.353582841174,147.43635004917726,451.6562023893676,21,21,False
84.0,150.0,50.0,150.03777557246468,445.7646289824971,240.61710237606783,1989.148239383379,147.64522475246372,449.53509451710585,21,21,False
85.0,150.0,50.0,151.71687344555423,442.25425393059993,241.77703236546654,1991.4652436284157,148.40741931304333,450.57423742344645,21,21,False
86.0,150.0,50.0,151.56344745804373,443.6216666128308,240.16755251152662,1994.6166031594184,147.58286598350932,450.31033272597375,21,21,False
87.0,150.0,50.0,150.8333686992741,443.42269900786033,239.8900341185487,1994.5627628432985,147.99478612136107,450.84583373116465,21,21,False
88.0,150.0,50.0,150.86486100579998,445.27454397512696,240.01685851401746,1994.8914734291536,147.87606563548158,450.76034451331617,21,21,False
89.0,150.0,50.0,150.22802425506103,443.05629861875485,242.43285891448122,1993.6581814008612,148.4760867019785,449.9169316183321,21,21,False
90.0,150.0,50.0,151.48047712690155,444.2233944348188,239.17371312955493,1992.7472249289262,148.05849509345026,449.79110430441517,21,21,False
91.0,150.0,50.0,150.0888339428888,439.953229768911,240.80897679953296,1993.6625456530278,148.31184430674978,450.3500106127456,21,21,False
92.0,150.0,50.0,151.81065082704984,442.7090906962059,241.1549661662611,1990.8624587089482,148.11079526932895,447.865835615027,21,21,False
93.0,150.0,50.0,152.82008991969778,441.8576305239764,241.02888577705835,1993.251508301916,147.34180788546252,447.80683240236345,21,21,False
94.0,150.0,50.0,150.79798653070753,443.8504382656044,239.5713731919981,1994.547065376379,147.91301883550128,450.60874439352517,21,21,False
95.0,150.0,50.0,151.25413991190825,443.0134939447366,240.78048627854844,1994.7974400958328,148.2044451602518,451.49602756092463,21,21,False
96.0,150.0,50.0,150.8468508319635,441.148785580061,240.02864930718613,1994.5163203013876,147.5935528907387,450.15117586817587,21,21,False
97.0,150.0,50.0,150.72864328663255,444.1675052396326,241.14434073809176,1992.63603442933,147.85788129201293,450.7204867983637,21,21,False
98.0,150.0,50.0,150.0434065893842,440.44746794347367,240.3967442020999,1989.8241100950274,148.24349164670653,448.4270982416286,21,21,False
99.0,150.0,50.0,151.1581951311927,442.2629271108453,240.4474146820069,1990.971677268783,147.91940823347292,449.45018618271405,21,21,False
100.0,150.0,50.0,149.29013859643368,443.3157912872667,239.99938899761202,1995.132321138303,147.76517402637103,451.1930501069076,21,21,False
